from_node,to_node,distance
JP_590237114,JP_2435864263,257.1958292586775
JP_590237114,JP_670398152,87.88326752927699
JP_590322587,JP_1857999617,73.80410943505056
JP_590322587,JP_598159745,17.20992280122888
JP_590322666,JP_598159731,74.36081985602917
JP_590322666,JP_598159730,77.16148166513176
JP_590322666,JP_2068573034,73.30641220997778
JP_590323547,JP_598159755,73.27695774187764
JP_590323547,JP_2068573026,70.25012017809014
JP_590323547,JP_598159758,161.94433802309337
JP_590323695,JP_603001356,26.981356056046042
JP_590323695,JP_2631199452,54.50338323891724
JP_590323937,JP_1857999605,41.00724663320573
JP_590323937,JP_1857999666,32.803325894105704
JP_595302045,JP_602379436,78.71501910140863
JP_595302045,JP_7202427106,29.43421604705335
JP_595341672,JP_603036488,25.13296696283463
JP_595341672,JP_742399333,14.636671909015046
JP_595342392,JP_2530859784,304.04467372130364
JP_595342392,JP_595342406,27.020462194323358
JP_595342406,JP_595342409,28.23982370345203
JP_595342409,JP_601416059,169.59068423372332
JP_595342409,JP_601416028,32.83162957899636
JP_595342418,JP_2530783488,14.693300189300977
JP_595342418,JP_595342420,26.42317568261548
JP_595342420,JP_601416025,23.231179399052394
JP_595342420,JP_8955823041,16.59838517387918
JP_595342422,JP_2530783494,27.849339006928666
JP_595342422,JP_601416015,211.39803146749728
JP_595343325,JP_2530783508,9.13787873039011
JP_595343325,JP_6418532198,142.30845150381418
JP_595343789,JP_5812661403,2417.914438638275
JP_595347138,JP_8932842685,56.39584234857563
JP_598159446,JP_3653270767,120.82390779979472
JP_598159446,JP_3089043388,11.842358660015575
JP_598159447,JP_3195893728,19.3273717232127
JP_598159447,JP_598159448,176.22660275336148
JP_598159448,JP_508062189,112.73048358939998
JP_598159448,JP_8932811194,47.03703311272786
JP_598159450,JP_598927352,111.87389663006098
JP_598159450,JP_598927128,211.5110007012594
JP_598159453,JP_603856869,117.74154262066904
JP_598159453,JP_7229163810,14.972833946041291
JP_598159479,JP_1869467744,37.06247041899262
JP_598159484,JP_598159479,22.37897822238162
JP_598159484,JP_1869475358,135.1809428357196
JP_598159487,JP_598159567,107.91628756427382
JP_598159487,JP_598159488,132.65504766947652
JP_598159487,JP_598159542,189.978058741588
JP_598159488,JP_598159487,132.65504766947652
JP_598159488,JP_602382612,85.36192778426842
JP_598159491,JP_6684172838,47.861098656971734
JP_598159493,JP_458409442,11.495705447272671
JP_598159493,JP_8933032535,8.639703067228417
JP_598159495,JP_458409420,81.35129318941237
JP_598159497,JP_11242586332,36.28592328476082
JP_598159497,JP_7226723610,465.9181201471062
JP_598159499,JP_598159504,125.59914771912014
JP_598159499,JP_598159500,22.47518552585824
JP_598159500,JP_6684172840,179.125567968683
JP_598159500,JP_598159497,88.58485413151678
JP_598159501,JP_601416305,29.764843903036926
JP_598159502,JP_11242586332,94.84075054091375
JP_598159502,JP_598159506,47.078787093067405
JP_598159504,JP_598159506,95.61922770645644
JP_598159504,JP_598159505,98.83538526722005
JP_598159504,JP_598159516,80.44953646434402
JP_598159505,JP_598159501,122.24071175371438
JP_598159505,JP_598159504,98.83538526722005
JP_598159505,JP_598159596,97.92305534335789
JP_598159506,JP_598159504,95.61922770645644
JP_598159506,JP_11242586329,98.08445152487424
JP_598159509,JP_4317282936,42.4381146547649
JP_598159509,JP_598159523,155.00671465297373
JP_598159511,JP_598159509,11.568064692749976
JP_598159511,JP_2022540491,346.1223017541008
JP_598159512,JP_598159513,82.47254612279504
JP_598159512,JP_598159526,125.80734062200285
JP_598159513,JP_4317313186,70.17626932376548
JP_598159513,JP_598159514,96.42989989424524
JP_598159514,JP_598159519,69.8422881278216
JP_598159514,JP_598159515,101.07390982743169
JP_598159514,JP_598159513,96.42989989424525
JP_598159515,JP_598159528,69.1390659293714
JP_598159515,JP_8933032540,53.0799348251049
JP_598159516,JP_598159519,99.75728307119098
JP_598159516,JP_8933032542,59.09484469475204
JP_598159516,JP_598159515,69.50979869064118
JP_598159517,JP_598159518,72.92756892189693
JP_598159517,JP_8933032540,46.171921949883
