node_id,longitude,latitude
JP_598927082,-34.8607968,-7.1243242
JP_598927083,-34.8613236,-7.1240793
JP_598927084,-34.8618856,-7.1238168
JP_598927085,-34.8614618,-7.1228946
JP_598927086,-34.8610233,-7.121975
JP_598927087,-34.8619701,-7.1226577
JP_598927088,-34.859941,-7.122478
JP_598927089,-34.8604399,-7.1222438
JP_598927091,-34.8610032,-7.1197007
JP_598927092,-34.8647247,-7.1213522
JP_598927093,-34.864431,-7.1205777
JP_598927094,-34.8606223,-7.1210994
JP_598927095,-34.8618829,-7.1209769
JP_598927097,-34.8645242,-7.1208831
JP_598927098,-34.8622316,-7.1217262
JP_598927099,-34.8618789,-7.1198032
JP_598927100,-34.863153,-7.1208013
JP_598927101,-34.8633863,-7.1213123
JP_598927102,-34.8615181,-7.1217554
JP_598927103,-34.8612003,-7.1210528
JP_598927106,-34.8579427,-7.124731
JP_598927108,-34.857451,-7.1252704
JP_598927110,-34.8569245,-7.1261638
JP_598927112,-34.8551967,-7.1253077
JP_598927113,-34.856016,-7.1257316
JP_598927116,-34.8501694,-7.1253324
JP_598927117,-34.8532841,-7.1252967
JP_598927118,-34.8513643,-7.1253185
JP_598927119,-34.8513474,-7.1270469
JP_598927123,-34.8563083,-7.1226077
JP_598927124,-34.8563069,-7.1224386
JP_598927126,-34.8588735,-7.122985
JP_598927127,-34.8552409,-7.1197572
JP_598927128,-34.8590851,-7.1196595
JP_598927129,-34.8590806,-7.1197825
JP_598927132,-34.855233,-7.1211644
JP_598927133,-34.8590693,-7.1211805
JP_598927135,-34.8580648,-7.1211859
JP_598927136,-34.8593093,-7.1211845
JP_598927137,-34.8533096,-7.1225361
